,condition,order,VB-yes-no,VB-problem-solving,VB-cloze,FE-yes-no,FE-problem-solving,FE-cloze
1,control,"['VB', 'FE']","[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]","VB_P1                                    no busses availble, no busdrivers availble 
VB_P2               not communicated with the driver, wrong start town communicated 
VB_P3    all passengers have to make a reservation date instead of a boarding date. 
VB_P4          the person hasnt made a reservation, there are no boarding dates left
VB_P5                                              More passengers, more daily trips
Name: 23, dtype: object","['trips ', 'events ', 'passengers ', 'two ', 1, 'boarding ', 'board ', 1, 1, 'reservation ', 'boarding ', 0, 1, 0, 0, 0, 'two', 'route segment ', 'town', 'special', 0, 0, 0, 1, 'registerd ', 'bus ', 'absent ', 0, 'trip ', 0, 0, 0, 0, 'bus ', 0, 0, 'problem ', 'the town ', 'problem ', 0, 'maintence ', 'average ', 'problems ', 0, 0]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]","FE_P1                                                                                                                  de manufacture doesnt have the right parts 
FE_P2                                                                    there are not enough machines to repair al the parts, they dont have the right equipment 
FE_P3                                                          diferences between local and normal customers, needed parts are ordered at different manufacturers 
FE_P4    they dont know the prices of the parts beforehand, it will take more hours to repair then they thought, the prices of the parts are higher than expected 
FE_P5                                                                                                                                    the costs can be higher, 
Name: 23, dtype: object","[0, 0, 0, 0, 0, 'mechanic', 'reperation ', 1, 'parts ', 'equipment ', 'reciprocating ', 0, 0, 0, 'phone ', 1, 1, 0, 1, 'warehouse ', 'supply ', 0, 'bin ', 'one', 'bin', 'warehouse name ', 0, 0, 0, 0, 0, 'experience ', 'mechanic ', 0, 0, 0, 0, 0, 0, 1, 1, 'price', 'total ', 'repair number ', 0]"
2,treatment,"['VB', 'FE']","[1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1]","VB_P1                           there is no driver, there are no reservations, the start town and end town are too far away from eachother, there ar no busses available, its too expensive, 
VB_P2    the reservation did not come through, the drivers where absent, de busses broke down or where already in use, they did not collect the right data: date, time, number of people etc.
VB_P3                                                             there where too many reservations, people without reservation boarded the bus, the bus is too smal, people take two seats, 
VB_P4                                                                      in the trip the special event does not belong to the route, the person did not make a reservation, the bus is full
VB_P5          there arent enough bus drivers, more reservation can be made, more people can take their trips, they can make more money, more busses can brake down, they can plan more trips
Name: 24, dtype: object","[1, 1, 'the passengers', 1, 'reservation for', 1, 'available', 1, 1, 1, 1, 'each', 'begin', 0, 0, 1, 'two', 1, 'town', 'special', 1, 'all', 1, 1, 0, 1, 1, 'absent', 'driver', 1, 'reason', 1, 1, 'bus in use', 1, 'maintenance', 1, 1, 1, 1, 1, 1, 'prolems', 1, 0]","[0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0]","FE_P1    the manufacture dit not supply the requires parts for the repair, there isnt a skilled mechanic, they cant find the parts in the warehouse, it is a machine the facility does not repair, they customer did not give the right information or did not pay
FE_P2                                                    They don have enough mechanics/employees, the working hours of the employees will be longer, the manufacturers can not supply enough parts or not fast enough, Far Eastern can not do all repairs in time
FE_P3        one machine was more broke than they other, the machines were not exactly the same so the parts requierd for the rapair can be of a differen pricerange, the time of the repair were not at the same time far eastern might have changed their prices
FE_P4                                                                                                                                     machine type, rpm, horse power, manuf. code, what part is broken and in what level, wicht mechanic does the repair need.
FE_P5                                                                                                                                                                           the machine might replace some of the mechanics, the repair and total cost go down
Name: 24, dtype: object","[1, 0, 'lowest', 1, 1, 1, 1, 1, 1, 'machine type', 1, 1, 0, 0, 1, 1, 1, 0, 'adress', 0, 'supply', 'store', 'bin', 1, 'bin', 'warehouse name', 1, 1, 1, 1, 'mechanics name', 1, 1, 1, 1, 1, 1, 'repair details', 1, 1, 1, 'machanics name', 'total ', 1, 1]"
3,control,"['FE', 'VB']","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1]","VB_P1                                                                                                                                 The requirements of the proposed trip are too much for a single trip and Vozager Bus Inc. would be unable to make a profit from the trip
VB_P2                                                                                                                                                  The bus encountered an accident while driving towards the starting destination and as such needed immediate maintenance
VB_P3    All the seats have been reserved on the bus and there are no more seats for possible boards;Voyager Bus Inc. miscalculated and underestimated the number of possible passangers for the trip, assigning it a model of a bus that has a smaller seat number than usual
VB_P4                                                                                                                                           All of the seats for the special event have already been reserved and there are no more seats for reservation or boarding left
VB_P5                      The new buses need to be assigned new registration numbers and their makes and models need to be registered as well;Due to having a bigger number of buses at their disposal, Voyager Bus can now organise more trips taking place at the same time
Name: 25, dtype: object","[1, 1, 'customers', 'several', 1, 'starting', 'unreserved seat', 'reservation date', 1, 1, 1, 1, 1, 'referred to', 1, 1, 1, 1, 'town', 'special', 1, 1, 1, 1, 1, 1, 1, 1, 'reasons for absence', 1, 1, 0, 1, 1, 'All buses', 1, 1, 1, 'maintenance', 1, 1, 'average repair', 'maintenance problems', 1, 1]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0]","FE_P1                                                                                                Several more problems that need to be repaired have been found and require more time;The manufacturer currently does not have the parts required for the repair
FE_P2                                                                                                                                                                                                                          Lack of mechanics;Lack of spare parts
FE_P3    One machine could have been repaired faster than usual by a more experienced mechanic, leading to a increase in price;The same machine could have needed more parts to repair it, leading to an increased price so that Far Eastern can make the money back
FE_P4                                                                                                               Inexperience of the mechanic who estimates the repair requirements;The equipment in need of repair is a specific model that requires rarer parts
FE_P5                             The data banks are going to need to have an option added to check if the equipment in question is a large turbine engine;The warehouse is going to need to have more space allocated to larger parts for the large turbine engines
Name: 25, dtype: object","[1, 1, 1, 'several', 1, 1, 1, 1, 'manufacturing number', 'rounds per minute', 'cenrifugal', 1, 'repaired', 'mechanic', 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 'bin', 'warehouse name', 1, 'skill level', 1, 1, 'information', 1, 1, 0, 1, 0, 1, 0, 1, 1, 'needed', 'repair number', 1, 1, 1]"
4,treatment,"['FE', 'VB']","[1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1]","VB_P1                                                                                                                            It does not fit any route segment. There are no drivers avaiblible. 
VB_P2    The bus scheduled for the trip broke down and had to undergo maintanance. The driver that was supposed to take the bus there was absent all of the sudden. All the buses were already in use
VB_P3                                                                                                                                                      The passenger did not make a reservation. 
VB_P4                                                  It is already booked full. The bus that was supposed to be used for this trip had to undergo maintanance. The driver for this trip was absent.
VB_P5     There might be more busses that have to undergo maintanance. Voyager Bus might need to hire more bus drivers for the extra busses. voyager bus might be able to organize more daily trips. 
Name: 26, dtype: object","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 'represented', 1, 1, 'segments', 1, 'town', 'special', 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 'All busses', 1, 'maintanance', 'maintanance', 1, 1, 'maintanance', 1, 'experienced problems', 'maintanance', 1]","[0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0]","FE_P1                                                                                                                                                                               There is no skilled mechanic avaiible for the task. There are no manufactureres that can supply a certain part for the repairation. The parts required for the repairation are also not stored in the warehouse
FE_P2                                                                                                                                                                                                                                                                    The do not have enough mechanics. The total cost for all of the repairations will be too high. The might run out of parts.
FE_P3    If there were more mechanics working on one of the machines, than the total cost of the repairation also increases drastically. One of the two machines could have a different model pump with for example a higher rpm; this could reflect in the price of a part. Since there are different mechanics working on the machines, maybe some of them have a higher labour rate than others.
FE_P4                                                                                                        The sales person could never know if the company has certain parts stored in the warehouse or not, and if the company needs to order them this will increase the price. The sales person cant know which mechanics will work on the repair and for which labour rate they will do so. 
FE_P5                                                                    They will need to make sure they have a mechanic with the correct set of skills. They will need to know every property of the machine and which of them are important enough to note. They need extra parts, which they will need to order. They will need to find a manufacturer that can supply them with the new parts.
Name: 26, dtype: object","['repairations', 1, 1, 'all', 1, 1, 1, 1, 1, 'the rate', 1, 1, 'repaired', 'mechanic', 1, 1, 1, 1, 1, 1, 1, 'required', 1, 0, 'bin', 'warehouse name', 1, 1, 'labour rate', 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 'number', 1, 1, 1]"
5,treatment,"['FE', 'VB']","[1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1]","VB_P1                                                                                 It is not associated with a daily trip or a route segment
VB_P2               The bus was in maintenance and the other busses where already in use, he notes the wrong start town or the wrong start time
VB_P3                                                                                 There are already people in the bus without a reservation
VB_P4                                                                               The start town, the route segment, the start or finish time
VB_P5    There could be more daily trips, there could be more people take a daily trip without reservation, there could go more trips to events
Name: 27, dtype: object",[nan],"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1]","FE_P1                                                                                                             Problem by the manufacture, not the right parts
FE_P2                                                                Not enough parts stored in the warehouse, not enough skilled mechanics, not enough equipment
FE_P3                                                                                 The mechanic worked longer on it, the mechanic has more years of experience
FE_P4    You do not know who of the mechanics has time to fix it, so the experience could be influenced the prize, the price of the parts is higher than expected
FE_P5                                                                                         Less mechanics needed, less hours of repair due to automatic repair
Name: 27, dtype: object",[nan]
6,control,"['VB', 'FE']","[1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1]","VB_P1                                                                                                                                                                                                                                                                                                          he chose different route segments; there are no available busses left; 
VB_P2                                                                                                                                                                                                                                                                                drivers were abscent; busses had maintenance problems; no passenegers took interest in the trip; 
VB_P3                                                                                                                                                                                                                                    there were no empty seats left; the passenger did not reserve a seat for the trip; there could be a passenger who has not paid for the trip; 
VB_P4                                                                                                         there are no empty seats left on the bus which is going to the special event; one of the busses assigned to the special event had a maintenance problem and there were no others left; the person did not reserve a seat on the bus and therefore cannot board the bus; 
VB_P5    more available busses for the daily trips which will increase the number of people who can go; when a bus goes in for mainenance problems the new ones can fill in and not leave passengers without a trip to go to; more busses will be able to go the same trip adn therefore there will be more people on a given trip which will increase the profits if Voyager Bus Inc;
Name: 28, dtype: object",[nan],"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]","FE_P1                                                                                                                              mechanics were too busy with other repairs; the parts needed for the repair have not yet been supplied by the manufacturer; there are no free mechanics who are able to work on the machine; 
FE_P2    warehouse might become empty in the near future; far eastern might need to assign more mechanics on one machine and therefore delay the repair of other machines; the manufacturers might run out of spare parts because of the high demand; customers might become angry of their machine takes too long to get fixed;
FE_P3                                                                                 one of the customers might have benn a local; one of the machibes may have needed more parts to repair than the other; dar eastern may have had to order parts from the manufacturer because they did not have any left in the warehouse; 
FE_P4                                                                           the depth of the examination of the broken machine is not high when done on the spot; when repairing the machine more problems might surface and more parts may be needed; the price of the parts may differ from manufacturer to manufacturer; 
FE_P5                                                                                                                                                                                                           there would be no need for mechanics specialized in turbine engines; repairs may take shorter time to complete; 
Name: 28, dtype: object",[nan]
7,treatment,"['VB', 'FE']","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","VB_P1                                                                                                               no bus, no drivers, no passengers make reservations
VB_P2                                                    no driver available, no bus avialable, bus experienced problems on the way, route segment was wrong scheduled.
VB_P3      to many passengers without an reservation are placed in the bus, or there were more reservations than places on the bus so they need an extra bus and driver
VB_P4                                   no available busses, no place left in the bus, no driver available, the passengers does not give the right personal information
VB_P5    more people can go on trips, more cost to repair, more daily kilometers, more drivers needed, more places available in the bus, more possible routes and trips
Name: 29, dtype: object","[1, 'trips', 1, 1, 1, 1, 'available', 'boarding', 'reservation', 1, 1, 1, 1, 'associated ', 1, 1, 1, 'route segment', 'town', 'special', 1, 'All', 'route segment', 'emplyee', 'mandatory', 'absent ', 1, 'absent', 1, 1, 1, 'description', 1, 'daily kilometers', 1, 'maintenance', 1, 1, 'maintenance', 1, 'experienced', 'average ', 'problems', 1, 1]","[0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0]","FE_P1                                                                        mechanics are busy, required parts are not collected or supplied, communication went wrong
FE_P2                                    overworking mechanics, not enough mechanics, not enough time, not enough parts in warehouse, supplier do not have enough parts
FE_P3                                                                                      different parts were replaced, different mechanics who did charge more hours
FE_P4                                                                                                                  the parts and hours differ with each reparation 
FE_P5    the amount of reparations they can do changes/ increases, they could need more parts, they could need less (skilled) mechanics, they could change their prices
Name: 29, dtype: object","[' reparations', 'equipements', 'lowest ', 'three ', 1, 1, 'reparation', 1, 1, 'machine type', 1, 1, 'assigned', 'repair number', 1, 'phone', 'all', ' details', 'adress', 'or many', 'require', 'are sored ', 1, 1, 'bin', 'warehouse name', 1, 1, 1, 1, 'skill ', 1, 1, 1, 1, 1, 1, 'find parts', 'reparation', 1, 'recplaced', 'number', 1, 1, 1]"
8,control,"['VB', 'FE']","[1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0]","VB_P1                         No route segmnent passes through the start and end towns
VB_P2                                                    The buses were being repaired
VB_P3                                                                       Overbooked
VB_P4    Voyager does not have the persons necessary information, they did not reserve
VB_P5                              They have to re-plan their trips and route segments
Name: 30, dtype: object","[1, 1, 1, 'several', 1, 1, 'empty', 1, 'booking', 1, 1, 1, 1, 0, 0, 1, 1, 1, 'town', 'special', 1, 1, 1, 1, 1, 'all', 1, 0, 0, 'bus', 1, 1, 'descrption', 'daily kilometers', 1, 0, 1, 1, 1, 1, 'bus', 'repair', 'problems', 0, 1]","[1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1]","FE_P1                                                                                  No mechanic has been assigned, the parts have not been recieved
FE_P2                                                                                        Not enogh mechanics, not enough parts, not enough storage
FE_P3                                                         The parts came from different manufacturers, one was repaired by a more skilled mechanic
FE_P4    What manufacturer provided the parts, how long it took to repair, how many mechanics worked on the repair and what their experience level was
FE_P5                                                                                     A repair might now not require mechanic/s. the price changes
Name: 30, dtype: object","[1, 1, 'least', 1, 1, 1, 1, 1, 1, 0, 'centrifual', 1, 'evaluated', 'mechanic', 1, 1, 1, 1, 1, 'repair', 0, 0, 1, 0, 'bin', 0, 'mecahnics', 1, 1, 1, 1, 1, 1, 1, 1, 'lead', 'call', 'be', 1, 1, 1, 1, 1, 1, 1]"
9,control,"['VB', 'FE']","[1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1]","VB_P1                                                                                        The trip compromises the same route segment as another trip. The trip has the same start or finish town.
VB_P2                                                                                                                                                           Absence of driver/bus in maintenance/
VB_P3                                           A passenger that did not have a reservation was given a boarding pass. the passenger waiting for the bus took a bus he/she was not supposed to take. 
VB_P4                                                                                                                                                                             The event is full. 
VB_P5    More varieties of trips/ more trips per time period/ faster routes that skip certain stops/more events/more possible maintenance/more space needed for the extra busses/ more drivers needed
Name: 31, dtype: object","[1, 1, 1, 'numerous', 1, 1, 'assigned', 1, 1, 1, 1, 1, 1, 'assigned', 1, 1, 'multiple', 1, 'town', 'special', 1, 'a', 1, 1, 'kept', 'bus', 1, 1, 1, 'bus', 1, 'details', 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 'problems', 1, 1]","[0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0]","FE_P1                                                       repair took longer than expected/the parts for the repair are not deliverd yet/ more parts are required than expected/ something went wrong during the repair
FE_P2                                                                                                                         lack of mechanic/ lack of parts / lack of space for repairing and storing/ longer waitlists
FE_P3                                                                                                                             different properties (rpm, horse power etc.)/ more damage/ more skilled mechanic needed
FE_P4                                                                                                                                      more issues than expected/ something went wrong or different during the repair
FE_P5    from the repair entity there would also have to be the machine next to the mechanic to repair, this entity would need properties, the machine does not earn money so it would not be connected to repair details
Name: 31, dtype: object","[1, 1, 1, 1, 1, 1, 'a repair', 1, 1, '... per minute', 1, 1, 'brought in', 1, 1, 1, 'some', 1, 'adress', 'supply', 'supply', 'supplied', 1, 1, 'bin', 'warehouse name', 1, 1, 'skill', 1, 1, 1, 1, 1, 1, 'assigned', 1, 0, 1, 1, 'needed', 'name', 1, 'repairing', 'assigned']"
10,treatment,"['VB', 'FE']","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]","VB_P1                                                                                   No available buses and drivers, too costly
VB_P2                                                     All buses were in maintenance or not available, no bus drivers available
VB_P3    The rest passengers had reserved that particular trip but the last passenger did not have reservation but a boarding pass
VB_P4                                                                                              Bus is booked, no available bus
VB_P5                                                                                                   More available daily trips
Name: 32, dtype: object","[1, 1, 1, 1, 1, 'station', 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 'town', 'special', 'number', 1, 1, 'telephone', 1, 1, 1, 1, 1, 1, 'details', 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","FE_P1                                                                            Wrong parts, wrong mechanic
FE_P2                                         Lack of mechanics, need of more warehouses, need of more parts
FE_P3                                 Different parts needed (more expensive), more skilled mechanics needed
FE_P4    The type of parts needed, skilled mechanic (more expensive), expensive manufacturer for these parts
FE_P5      New manufacturers will be needed for that machine, new mechanics (skilled ones), bigger warehouse
Name: 32, dtype: object","[1, 1, 'best', 'many', 1, 0, 1, 0, 1, 0, 1, 1, 'assigned', 'number', 1, 1, 1, 0, 0, 'part', 'supply', 0, 0, 'unique', 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 'be', 0, 0, 0, 0, 0, 0, 0]"
