StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q113,Q114,ERK,DBK,BTK,RFK,BTK_1,BTK_2,BTK_3,BTK_4,BTK_5,RPK_1,RPK_2,RPK_3,RPK_4,RPK_5,Signal,Voyager Description,Q121_First Click,Q121_Last Click,Q121_Page Submit,Q121_Click Count,VB_C1,VB_C2,VB_C3,VB_C4,VB_C5,VB_C6,VB_C7,VB_C8,VB_C9,VB_C10,VB_C11,VB_C12,Q122_First Click,Q122_Last Click,Q122_Page Submit,Q122_Click Count,VB_P1,VB_P2,VB_P3,VB_P4,VB_P5,Cloze test timer_First Click,Cloze test timer_Last Click,Cloze test timer_Page Submit,Cloze test timer_Click Count,Q86,Q107_4,Q117_4,Q116_4,Q108_1,Q109_1,Q110_4,Q123_First Click,Q123_Last Click,Q123_Page Submit,Q123_Click Count,FAC_1,FAC_2,FAC_3,FAC_4,FAC_5,FAC_6,FAC_7,FAC_8,FAC_9,FAC_10,FAC_11,FAC_12,Q124_First Click,Q124_Last Click,Q124_Page Submit,Q124_Click Count,FE_P1,FE_P2,FE_P3,FE_P4,FE_P5,Cloze test timer_First Click,Cloze test timer_Last Click,Cloze test timer_Page Submit,Cloze test timer_Click Count,Q88,Q95_1,Q115_1,Q96_1,Q97_1,Q98_1,Q99_1,Understand1,Understand2,Use1,Use2R,Load1,ENG1,ENG2,ENG3,VB_P2 - Parent Topics,VB_P2 - Topics,FL_87_DO,FL_72_DO,FL_81_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age?,What is your gender?,Have you ever used Entity Relationship Diagrams to model a business organization?,"Compared to an average user of databases (i.e.,  organized collection of data stored and accessed electronically from a computer system), I would rate my level of experience in database usage as:",Please indicate your level of knowledge of organizing a bus tour company:,Please indicate your level of knowledge of organizing a machine repair facility:,Please indicate if you have done the following activities:Taken a bus tour,Worked as a bus driver,Made a reservation for a bus trip,Traveled by bus to a special event,Organized a set of short bus trip,Worked as a mechanic,Worked in a warehouse,Replaced a part on an engine,Had your engine overhauled,Helped to organize a repair shop,Please signal the experimenter before you proceed to the next page.,"Voyager Bus Inc (Voyager) is a company specializing in bus trips to places of interest or special events. The objectives of Voyager are to provide high quality and safe traveling experiences for tourists. 
There are two ways for people to travel with Voyager. Passengers can either make a reservation on a trip, or passengers can show up at the boarding gate without a reservation and purchase a ticket for an unreserved seat. Passengers with a reservation are assigned a reservation date, whereas, passengers without reservations are assigned a boarding date. The name and addresses of all passengers are collected. Telephone numbers are collected where possible. 
All bus trips are organized into daily route segments. All daily route segments have both a start time and an end time. Each daily route segment Voyager organizes is classified as a route segment with a segment number, start town, and finish town. Voyager offers a range of trips, and each trip is made up of one or more route segments. For every trip there is a trip number, start town, and finish town. If the trip is organized around a special event, the event name is also associated with the trip. 
Each daily route segment that Voyager offers is part of a daily trip. A daily trip is undertaken by one or more bus drivers. The name, address, and employee number of all drivers are collected. Voyager also records information about absent drivers. When a driver is absent, Voyager records the absence start date and the details about the absence. The absent driver provides one or more reasons for being absent and each reason is assigned a detail number and a short description.
Voyager also collects information about the buses used for daily drips. Buses have a make, model, and registration number. For buses in use, the average daily kilometers is collected. If a bus requires maintenance, Voyager notes the date on which the bus entered maintenance and records the one or more problems with the bus. Voyager assigns a problem number and a short description for every maintenance problem. Finally, the average cost to repair all problems with a bus in maintenance is also recorded.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Can a trip be made up of more than one route segment?,Does a person have to make a reservation to go on a trip?,Can a daily trip be assigned to more than one bus?,Does Voyager Bus Inc. collect the same set of information for all of the passengers?,Can the same daily route segment be associated with two different trip numbers?,Can Voyager Bus Inc. record a maintenance problem that has not yet been experienced by any of their buses?,Is the daily route segment modeled as an entity?,Can a bus driver be assigned to more than one daily trip?,Are all buses that are available for use assigned to a daily route segment?,Is model an attribute of bus?,Is the average cost of repair recorded for all buses in maintenance?,Can the end town assigned to a route segment be different from the end town associated with a trip that uses the route segment?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"An employee at Voyager Bus Inc. has come up with an idea for a new trip, and has assigned the trip with a trip number, start town, and end town. The employee showed the newly planned trip to his manager and she said that the trip, although exciting, was not possible. What reasons can you provide for the trip not being possible? (Provide as many solutions as you can think of.)","A trip was scheduled by managers at Voyager Bus Inc. four months in advance of the start date. Yet when the time came for the bus trip to start, no bus showed up at the scheduled time. What reasons can you suggest for why there was no bus? (Provide as many solutions as you can think of.)","A bus driver for Voyager Bus Inc. has a problem. All seats on the bus have been taken, yet there is a passenger waiting to board the bus. What could have happened to cause this problem? (Provide as many solutions as you can think of.)","A person wants to go to a special event that is part of a trip offered by Voyager Bus Inc., yet the employee at Voyager Bus Inc states that, given the current situation, the person cannot go on the special trip. What could be stopping the person from going on the trip? (Provide as many solutions as you can think of.)",Voyager Bus is considering the purchase of several new medium sized buses. What might be the effects of this purchase on Voyager Bus. as it currently stands. (Provide as many solutions as you can think of.),Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Full answer is placed here and saved. The textbox is invisible to respondents. You should not be able to see this textbox. If you see that, ask Andreas to take a picture of your answers.",How mentally demanding was the task?,How hurried or rushed was the pace of the task?,How hurried or rushed was the pace of the task?,How successful were you in accomplishing what you were asked to do?,How hard did you have to work to accomplish your level of performance?,"How insecure, discouraged, irritated, stressed, and annoyed were you?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do all repairs require parts?,Can a repair be worked on by more than one mechanic?,Are all repairs assigned to at least one mechanic?,Are there parts stored in the warehouse that are not used for repairs?,Does Far Eastern collect different information for different machine types?,Does Far Eastern differentiate their local customers in any way?,Can a mechanic who does not have a special skill be assigned to more than one repair?,"Do all the mechanics related to the same repair, pool their hours to create a single entry for hours worked?",Can a piece of equipment undergo more than one repair?,Can more than one part be listed in a single repair detail?,Is the cylinder volume recorded for all pumps that are repaired?,Can a part be supplied by more than one manufacturer?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,A customer of Far Eastern has called to complain that the machine they sent for repair has not been repaired yet. What possible reasons can you provide for what might have gone wrong? (Provide as many solutions as you can think of.),Far Eastern is experiencing a very large increase in the number of machines that they should repair. What problems might Far Eastern experience because of this increase in repairs? (Provide as many solutions as you can think of.),"Two customers of Far Eastern were talking to each other. One customer found that he was charged more for his repair than the other person, even though the machines were very similar. What reasons can you suggest for the difference in prices between the customers? (Provide as many solutions as you can think of.)",Customers of Far Eastern are not happy when the actual repair price is higher than the estimated repair price. The sales person says that it is not his fault because the estimation is so difficult. Provide as many possibilities as you can think of that make the accurate estimation of the total repair price difficult. (Provide as many solutions as you can think of.),Far Eastern is considering investing in a machine that can be used to repair large turbine engines. How would the current data structure be affected by the purchase of the new machine? Try to think of as many affects as possible. (Provide as many solutions as you can think of.),Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Full answer is placed here and saved. The textbox is invisible to respondents. You should not be able to see this textbox. If you see that, ask Andreas to take a picture of your answers.",How mentally demanding was the task?,How physically demanding was the task?,How hurried or rushed was the pace of the task?,How successful were you in accomplishing what you were asked to do?,How hard did you have to work to accomplish your level of performance?,"How insecure, discouraged, irritated, stressed, and annoyed were you?",I believe that it was easy for me to understand what an entity relationship diagram was trying to model.,Learning how to read an Entity Relationship Diagram was easy for me.,"Overall, I believe that the Entity Relationship Diagramming method was easy to use.",Using the Entity Relationship Diagramming method was often frustrating.,Performing the task required very little conscious mental effort or concentration.,I feel confident in my English comprehension skills.,I was able to fully comprehend the experimental task and the questions asked.,I was able to follow the training video (provided before the main experiment) on Entity Relationships.,VB_P2 - Parent Topics,VB_P2 - Topics,FL_87 - Block Randomizer - Display Order,FL_72 - Block Randomizer - Display Order,FL_81 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID118_TEXT""}","{""ImportId"":""QID119""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID135_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID126_FIRST_CLICK""}","{""ImportId"":""QID126_LAST_CLICK""}","{""ImportId"":""QID126_PAGE_SUBMIT""}","{""ImportId"":""QID126_CLICK_COUNT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID127_FIRST_CLICK""}","{""ImportId"":""QID127_LAST_CLICK""}","{""ImportId"":""QID127_PAGE_SUBMIT""}","{""ImportId"":""QID127_CLICK_COUNT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID132_FIRST_CLICK""}","{""ImportId"":""QID132_LAST_CLICK""}","{""ImportId"":""QID132_PAGE_SUBMIT""}","{""ImportId"":""QID132_CLICK_COUNT""}","{""ImportId"":""QID91_TEXT""}","{""ImportId"":""QID107_4""}","{""ImportId"":""QID122_4""}","{""ImportId"":""QID121_4""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID109_1""}","{""ImportId"":""QID110_4""}","{""ImportId"":""QID128_FIRST_CLICK""}","{""ImportId"":""QID128_LAST_CLICK""}","{""ImportId"":""QID128_PAGE_SUBMIT""}","{""ImportId"":""QID128_CLICK_COUNT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID129_FIRST_CLICK""}","{""ImportId"":""QID129_LAST_CLICK""}","{""ImportId"":""QID129_PAGE_SUBMIT""}","{""ImportId"":""QID129_CLICK_COUNT""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID134_FIRST_CLICK""}","{""ImportId"":""QID134_LAST_CLICK""}","{""ImportId"":""QID134_PAGE_SUBMIT""}","{""ImportId"":""QID134_CLICK_COUNT""}","{""ImportId"":""QID93_TEXT""}","{""ImportId"":""QID100_1""}","{""ImportId"":""QID120_1""}","{""ImportId"":""QID101_1""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID103_1""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID61""}","{""ImportId"":""QID63""}","{""ImportId"":""QID62""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID136""}","{""ImportId"":""QID137""}","{""ImportId"":""QID138""}","{""ImportId"":""QID34_TEXT_d53127ed63d24e499a59d6b6ParTopics""}","{""ImportId"":""QID34_TEXT_d53127ed63d24e499a59d6b6Topics""}","{""ImportId"":""FL_87_DO""}","{""ImportId"":""FL_72_DO""}","{""ImportId"":""FL_81_DO""}"
2021-07-22 07:24:46,2021-07-22 07:24:57,Survey Preview,,100,10,True,2021-07-22 07:24:58,R_s5A3M60NxRtk7ct,,,,,52.1305999755859375,4.662994384765625,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-22 07:33:12,2021-07-22 07:33:23,Survey Preview,,100,11,True,2021-07-22 07:33:24,R_u9vTjZJVRY6MxMJ,,,,,52.1305999755859375,4.662994384765625,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-22 07:33:59,2021-07-22 07:36:57,Survey Preview,,100,177,True,2021-07-22 07:36:58,R_10CwWAyWJsX3YCG,,,,,52.1305999755859375,4.662994384765625,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 08:23:35,2021-07-28 08:25:12,Survey Preview,,100,96,True,2021-07-28 08:25:12,R_Ov9ao0DcSBcG24x,,,,,51.5522003173828125,5.0973968505859375,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_51|FL_66,FL_75|FL_59
2021-07-30 05:11:08,2021-07-30 05:13:12,Survey Preview,,100,123,True,2021-07-30 05:13:13,R_2v0IMKN1vRu8FIa,,,,,51.5886993408203125,4.9922027587890625,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_72|FL_81,FL_51|FL_66,FL_59|FL_75
2021-07-30 05:25:37,2021-07-30 05:28:21,Survey Preview,,100,163,True,2021-07-30 05:28:22,R_qD872w0JB3gmev7,,,,,51.5886993408203125,4.9922027587890625,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_72|FL_81,FL_66|FL_51,FL_59|FL_75
2021-07-30 06:46:32,2021-07-30 06:53:35,Survey Preview,,100,422,True,2021-07-30 06:53:36,R_33rsl4nv9kjGNK2,,,,,51.5886993408203125,4.9922027587890625,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_72|FL_81,FL_66|FL_51,FL_75|FL_59
2021-07-30 07:05:14,2021-07-30 07:08:37,Survey Preview,,100,202,True,2021-07-30 07:08:38,R_3F585OUOQkJ1X92,,,,,51.5886993408203125,4.9922027587890625,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_72|FL_81,FL_66|FL_51,FL_59|FL_75
